"question","manual_source","page","section","answer_summary"
"How do I set up EtherCAT communication on a FlexPro drive?","AMC_CommManual_FP_EtherCAT.pdf","11","Communication Manual / Introduction","The FlexPro EtherCAT communication manual covers the protocol setup including ESI file installation, state machine transitions, and object dictionary configuration for FE-series drives. Key addresses: 1000, 6010. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What is the difference between SDO and PDO messages in EtherCAT?","AMC_CommManual_FP_EtherCAT.pdf","15","Communication Manual / SDO vs. PDO Messages","SDO (Service Data Object) messages are used for non-cyclic parameter read/write access, while PDO (Process Data Object) messages provide real-time cyclic data exchange for control and monitoring. Key addresses: 2065, 60C2, 1A00, 1600. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I configure PDO mapping on a FlexPro EtherCAT drive?","AMC_CommManual_FP_EtherCAT.pdf","16","Communication Manual / SDO vs. PDO Messages","RPDOs are used by the host to write data to drive objects, and TPDOs are used to read data. PDO mapping is configured through objects 1600h-1603h (RPDO) and 1A00h-1A03h (TPDO). Key addresses: 6040, 1600, 2001, 1A00. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What are the default TxPDO and RxPDO assignments for FlexPro EtherCAT?","AMC_CommManual_FP_EtherCAT.pdf","18","Communication Manual / SDO vs. PDO Messages","Default TxPDOs include Status Word, Actual Position, Actual Velocity, and Actual Torque. Default RxPDOs include Control Word, Target Position, Target Velocity, and Target Torque. Key addresses: 6040, 1600, 2001, 1A00. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What is the EtherCAT state machine and how does it work?","AMC_CommManual_FP_EtherCAT.pdf","13","Communication Manual / EtherCAT State Machine","The EtherCAT state machine has four states: Init, Pre-Operational, Safe-Operational, and Operational. Transitions between states are controlled by the EtherCAT master. Key addresses: 1000h, 0x0000, 0x0FFF. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I configure the Sync Manager watchdog on an EtherCAT drive?","AMC_CommManual_FP_EtherCAT.pdf","14","Communication Manual / Watchdog","The Sync Manager watchdog monitors PDO communication and the PDO watchdog monitors cyclic data timing. If communication is lost, the drive enters a safe state based on the watchdog configuration. Key addresses: 2065, 60C2. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What ESI file do I need for a FlexPro EtherCAT drive?","AMC_CommManual_FP_EtherCAT.pdf","11","Communication Manual / Introduction","The ESI (EtherCAT Slave Information) XML file is named AMC_FP_xx.xx.xx.xx.xml. Always make a backup copy before updating. The file is needed by the EtherCAT master for device configuration. Key addresses: 1000, 6010. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What homing methods are available on FlexPro EtherCAT drives?","AMC_CommManual_FP_EtherCAT.pdf","25","Communication Manual / Homing","Homing is configured through objects 607Ch (Home Offset), 6099h (Homing Speeds), 609Ah (Homing Acceleration), and 6098h (Homing Method). Multiple methods using limit switches and index pulses are supported. Key addresses: 205B, 6041h. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do homing methods 11 to 14 work with the negative limit switch?","AMC_CommManual_FP_EtherCAT.pdf","30","Communication Manual / Homing","Methods 11 to 14 use a negative limit switch instead of a positive limit switch. The initial direction of travel is reversed (left instead of right) compared to methods using the positive limit switch. Key addresses: 6060h, 2039. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I change the mode of operation on an EtherCAT drive?","AMC_CommManual_FP_EtherCAT.pdf","35","Object Dictionary / Modes of Operation","Use object 6060h (Modes Of Operation) to send a mode change request and read object 6061h (Modes Of Operation Display) to confirm the active mode. Supported modes include Profile Position, Profile Velocity, Cyclic Synchronous, and Homing. Key addresses: 6086h, 6061h, 6060h, 203Ch. For the full guide, download ""AMC_CommManual_FP_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I set up CANopen communication on a FlexPro drive?","AMC_CommManual_FP_CANopen.pdf","20","Communication Manual / CANopen Messages","The FlexPro CANopen comm manual covers NMT state machine, SDO/PDO messaging, heartbeat monitoring, and the full object dictionary for FlexPro CANopen (FD-series) drives. Key addresses: 100Ch, 2315h. For the full guide, download ""AMC_CommManual_FP_CANopen.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What should the CAN bus load be kept below for reliable operation?","AMC_CommManual_FP_CANopen.pdf","20","Communication Manual / CANopen Messages","It is best to keep the network idle for at least 50% of the time (50% bus load). Bus load depends on the number of nodes, baud rate, and PDO cycle time. Key addresses: 100Ch, 2315h. For the full guide, download ""AMC_CommManual_FP_CANopen.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I configure PDO mapping on a CANopen drive?","AMC_CommManual_FP_CANopen.pdf","40","Communication Manual / SDO vs. PDO Messages","PDO configuration is accomplished by setting the communication parameter (COB-ID, transmission type) and mapping parameter (object indices and sub-indices mapped to the PDO). Key addresses: 208D, 1400h, 20E6. For the full guide, download ""AMC_CommManual_FP_CANopen.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What NMT states does a CANopen drive support?","AMC_CommManual_FP_CANopen.pdf","25","Communication Manual / NMT States","The drive supports Bootup, Stopped, Operational, and Pre-operational NMT states. State 0 is Bootup, state 4 is Stopped, state 5 is Operational, and state 127 is Pre-operational. Key addresses: 5535, 1016h, 1017h. For the full guide, download ""AMC_CommManual_FP_CANopen.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What CAN hardware do I need to communicate with AMC drives?","AMC_CommManual_FP_CANopen.pdf","10","Communication Manual / CAN Card","A CAN interface card or USB-to-CAN adapter is required. The manual covers CAN card setup and API access for communicating with the CANopen object dictionary. Key addresses: 2100h, 1000h, 2200h, 100Ch. For the full guide, download ""AMC_CommManual_FP_CANopen.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I set the CANopen node ID and baud rate in ACE?","AMC_SW_Manual_ACE.pdf","60","Configuring the Drive / Network","In the Network configuration page, set the CANopen Address (Node ID, range 1-127) and Baud Rate (CAN bus speed in kbit/s). Interface Access Control can also be configured. Key addresses: 6060. For the full guide, download ""AMC_SW_Manual_ACE.pdf"" from a-m-c.com > Support > Downloads > Software Downloads."
"How do I configure the CANopen node ID and baud rate in DriveWare?","AMC_SW_Manual_DriveWare.pdf","55","Configuring the Drive / Network","In the Network settings, set the CANopen Address (Node ID, 1-127) and Baud Rate. Interface Access Control settings are also available for read-only vs. read-write access. Key addresses: 6060. For the full guide, download ""AMC_SW_Manual_DriveWare.pdf"" from a-m-c.com > Support > Downloads > Software Downloads."
"How do I set up Modbus RTU communication with a DigiFlex drive?","AMC_CommManual_Modbus.pdf","7","Modbus Communication Protocol / Modbus Command Format","Modbus uses function codes for reading/writing coils and registers. The protocol uses an address byte, function code, data bytes, and CRC for message framing. Key addresses: 0308, 0286, 0288, 0268. For the full guide, download ""AMC_CommManual_Modbus.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What Modbus function codes are supported by AMC drives?","AMC_CommManual_Modbus.pdf","8","Modbus Communication Protocol / Modbus Command Format","Supported function codes include 01 (Read Coil Status), 02 (Read Input Status), 03 (Read Holding Registers), 05 (Force Single Coil), and 15 (Force Multiple Coils). Key addresses: FF00, 0000. For the full guide, download ""AMC_CommManual_Modbus.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I initiate an index or sequence over Modbus?","AMC_CommManual_Modbus.pdf","20","Register Definitions / Motion Engine","Register 4003 (hex FA2) is used to initiate Index/Sequence commands. Write the index or sequence number to trigger the desired motion profile. Key addresses: 4001, 4024, 4000. For the full guide, download ""AMC_CommManual_Modbus.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I set up Ethernet/IP communication on a FlexPro drive?","AMC_CommManual_EthernetIP_FP.pdf","15","Serial Communication Protocol / Modes of Operation","FlexPro Ethernet/IP drives support Profile Position, Profile Velocity, Cyclic Synchronous, Homing, and Current modes. Implicit I/O messaging provides real-time cyclic data exchange. Key addresses: 0011, 0001, 0000. For the full guide, download ""AMC_CommManual_EthernetIP_FP.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How does implicit I/O messaging work on Ethernet/IP drives?","AMC_CommManual_EthernetIP_FP.pdf","20","Serial Communication Protocol / Implicit Messaging","Implicit I/O messaging requires no further configuration beyond setting up the connection. Actual Position is available as a DINT tag for real-time monitoring. Key addresses: 5000, FC1B, 1769. For the full guide, download ""AMC_CommManual_EthernetIP_FP.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I set the IP address on a FlexPro Ethernet/IP drive?","AMC_CommManual_EthernetIP_FP.pdf","15","Command Dictionary / Network Configuration","The IP address is configured through the command dictionary. Example format: C0 A8 64 64 corresponds to 192.168.100.100. Key addresses: 0011, 0001, 0000. For the full guide, download ""AMC_CommManual_EthernetIP_FP.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I set up POWERLINK communication?","AMC_CommManual_POWERLINK.pdf","10","POWERLINK Communication / Communication Model","POWERLINK is based on the ISO OSI model. Communication uses isochronous and asynchronous phases with PReq/PRes polling for deterministic real-time data exchange. Key addresses: 2000h, 1000h, 1FFFh, 0x88AB. For the full guide, download ""AMC_CommManual_POWERLINK.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How does POWERLINK node addressing work?","AMC_CommManual_POWERLINK.pdf","11","POWERLINK Communication / POWERLINK Addressing","POWERLINK uses a managed node (MN) and controlled node (CN) architecture. Each CN has a unique node ID. The cycle includes SoC, PReq/PRes exchange, and SoA frames. Key addresses: 2000h, 1000h, 1FFFh, 0x88AB. For the full guide, download ""AMC_CommManual_POWERLINK.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What modes of operation do POWERLINK drives support?","AMC_CommManual_POWERLINK.pdf","20","POWERLINK Communication / Modes of Operation","POWERLINK drives support Profile Position, Profile Velocity, Cyclic Synchronous Position, Cyclic Synchronous Velocity, Cyclic Synchronous Torque, and Homing modes. Key addresses: 205B, 6041h. For the full guide, download ""AMC_CommManual_POWERLINK.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I set up RS-485 serial communication with a DigiFlex drive?","AMC_CommManual_RS485.pdf","5","Serial Communication Protocol","The RS-485 serial protocol supports multi-drop communication. Configuration includes setting the baud rate, drive address, and proper termination of the bus. Key addresses: D02Eh, 2007, 2008. For the full guide, download ""AMC_CommManual_RS485.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"What is the serial protocol message format for RS-485 drives?","AMC_CommManual_FP_Serial.pdf","11","Serial Communication Protocol / Protocol Timing","The FlexPro serial protocol is a byte-based command/response protocol. Messages include start byte (A5h), address, command, data section, and CRC for error checking. Key addresses: 200Fh, 2021h, 2023h, 2024h. For the full guide, download ""AMC_CommManual_FP_Serial.pdf"" from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I wire the RS-232 connection for CAN drives?","AMC_AppNote_004.pdf","1","AN-004 / RS232 Connection for CAN Drives","For CAN-based DigiFlex drives, RS-232 is used for commissioning via DriveWare. Set Interface Access Control appropriately and connect using a standard DB-9 serial cable. Key addresses: 3012, 1338, 3805, 1935. For the full guide, download ""Application Note 004"" from a-m-c.com > Support > Downloads > Application Notes."
"What is the CAN bus cabling guide for CANopen networks?","AMC_AppNote_005.pdf","1","AN-005 / CANopen Network Bus Cabling","Use twisted-pair cabling with proper termination (120 ohm resistors) at each end of the bus. RJ-45 connectors can be used for PCB-mount DigiFlex (DZC) drives. Key addresses: 3012, 1000, 3805, 1935. For the full guide, download ""Application Note 005"" from a-m-c.com > Support > Downloads > Application Notes."
"How do I wire the CAN bus with proper termination?","AMC_AppNote_005.pdf","2","AN-005 / CAN Voltage Levels","All drives must use the same bit rate but each drive must have a unique node ID. Terminate both ends of the CAN bus with 120-ohm resistors between CAN_H and CAN_L. Key addresses: 3012, 1000, 3805, 1935. For the full guide, download ""Application Note 005"" from a-m-c.com > Support > Downloads > Application Notes."
"What are the FlexPro PCB mount drive terminal pin assignments?","AMC_HWManual_FlexPro_PCB.pdf","25","Products and System Requirements / Terminal Pins","Pin assignments include T1 (STO-1 INPUT), T2 (STO RETURN), T3 (STO-2 INPUT), T4 (LOGIC PWR), T5 (HV), and motor/feedback connections on remaining pins. Key addresses: E100, E060. For the full guide, download ""AMC_HWManual_FlexPro_PCB.pdf"" from a-m-c.com > Support > Downloads > Hardware Manuals."
"What communication protocols are available on FlexPro drives?","AMC_HWManual_FlexPro_PCB.pdf","15","Products and System Requirements / Communication Protocols","FlexPro drives support EtherCAT (FE models), CANopen (FD models), Ethernet/IP (FMP-IPM models), RS485/232 (FM-RM and FD-RM models), and POWERLINK depending on model variant. Key addresses: 1000, A402, 6010. For the full guide, download ""AMC_HWManual_FlexPro_PCB.pdf"" from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I wire a FlexPro PCB mount drive for DC power?","AMC_HWManual_FlexPro_PCB.pdf","35","Integration in the Servo System / Wiring","Connect shielded DC power, motor power, and signal wires following the recommended interface PCB layout. Ensure proper chassis earth grounding and use isolated DC supply where required. Key addresses: 1250, 6200. For the full guide, download ""AMC_HWManual_FlexPro_PCB.pdf"" from a-m-c.com > Support > Downloads > Hardware Manuals."
"What are the PCB design guidelines for FlexPro embedded drives?","AMC_HWManual_FlexPro_PCB.pdf","40","Integration in the Servo System / PCB Design","Before designing a PCB interface for FlexPro drives, review the recommended reference designs. Follow proper trace routing, clearance, and grounding practices for reliable operation. Key addresses: FACE, 2021, 0224, 610D. For the full guide, download ""AMC_HWManual_FlexPro_PCB.pdf"" from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I connect the USB interface to a FlexPro drive?","AMC_HWManual_FlexPro_PCB.pdf","35","Integration in the Servo System / USB Interface","The USB interface is used for commissioning via ACE software. Follow the recommended USB interface circuit design shown in the hardware manual. Key addresses: 1250, 6200. For the full guide, download ""AMC_HWManual_FlexPro_PCB.pdf"" from a-m-c.com > Support > Downloads > Hardware Manuals."
"What are the connector types for DigiFlex Performance panel mount drives?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","30","Integration in the Servo System / Connectors","DPE drives use 6-pin 3.96mm friction lock headers for signals and 4-port 7.62mm connectors for DC power and motor power connections. Specific crimp tools are listed per connector. Key addresses: 0522, 0800. For the full guide, download ""AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf"" from a-m-c.com > Support > Downloads > Hardware Manuals."
"What is the feedback connector pinout for DigiFlex panel mount drives?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","35","Integration in the Servo System / Feedback Connector","The 26-pin FEEDBACK connector (J3) on DPE panel drives supports incremental encoder (A+/A-/B+/B-/Z+/Z-), absolute encoder (EnDat 2.2 or BiSS-C via DATA+/DATA-/CLK+/CLK-), Hall sensors (HALL A/B/C), and tachometer (+/-10V analog) inputs — the active pins depend on the feedback type configured in software. Use shielded twisted-pair cable for all encoder and Hall signals, and connect cable shield to the connector shell for noise immunity. For the full guide, download the DigiFlex Performance Panel EtherCAT Hardware Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I wire the DC power and motor connections on a DigiFlex panel drive?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","35","Integration in the Servo System / Power Connector","The DC POWER / MOTOR POWER connector on DPE panel drives uses a 7.62mm pitch enclosed friction-lock header: pin 1 is HV+ (high-voltage DC positive), pin 2 is HV- (high-voltage DC negative / DC return), and pins 3–5 carry motor phase outputs (Phase A, B, C for brushless or Phase A/B for brushed). A separate PE (protective earth) connection is required on the chassis ground stud. Use wire gauge appropriate for the drive's peak current rating; for example, 030A400 drives require a minimum of 14 AWG for power connections. For the full guide, download the DigiFlex Performance Panel EtherCAT Hardware Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I mount a DigiFlex PCB drive with screws?","AMC_HWManual_DigiFlex_PCB_CANopen.pdf","15","Integration in the Servo System / Mounting","DZ PCB mount drives can be mounted directly on a carrier board using the 2mm pitch board-to-board connector, or secured with M2.5 screws through the designated mounting holes for added mechanical stability in high-vibration applications. The mounting holes accept M2.5 hardware; observe the keep-out areas around the power components and connector zones as shown in the mechanical drawing. AMC's MC1XDZ interface carrier board is also available and provides screw-terminal connectors, encoder interface, CAN transceiver, and RS-232/485 circuitry in a single assembly. For the full guide, download the DigiFlex Performance PCB Mount CANopen Hardware Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"What are the CAN transceiver wiring recommendations for DZ drives?","AMC_HWManual_DigiFlex_PCB_CANopen.pdf","15","Integration in the Servo System / Communication Wires","DZ PCB drives expose a CAN differential pair (CAN_H and CAN_L) that requires an external 3.3V or 5V CAN transceiver (such as the Texas Instruments SN65HVD230 or compatible) on the carrier board; the recommended transceiver circuit is shown in the hardware manual and application note AN-008. Use 120-ohm termination resistors at both ends of the CAN bus, connect the bus using twisted-pair cable (100–120 ohm characteristic impedance), and keep stub lengths under 0.3m. All nodes must share the same baud rate, and each DZ drive must have a unique node ID configured via DIP switches or software. For the full guide, download the DigiFlex Performance PCB Mount CANopen Hardware Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"What are the AxCent PCB mount drive specifications?","AMC_HWManual_AxCent_PCB.pdf","15","Products and System Requirements / Analog PWM Servo Drive Basics","AxCent PCB mount drives (AZB series) are single- or three-axis analog PWM servo drives with power ratings from 6A/8V (AZB6A8) to 60A/8V (AZB60A8) continuous, using pulse-width modulation at a fixed switching frequency for current control — the PWM on-time is proportional to commanded current. They accept a +/-10V analog command input (100k ohm input impedance), operate from DC supply voltages up to 90V, and mount on the optional MC1XAZ01-HR carrier board which provides screw terminals and interface circuits. AZB models support brushed or brushless motors; the AZBD variant adds a deadband adjustment for brushed voice-coil applications. For the full guide, download the AxCent PCB Mount Hardware Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"What feedback options does the AxCent drive support?","AMC_HWManual_AxCent_PCB.pdf","5","Products and System Requirements / Feedback","AxCent PCB drives (AZB/AZBD) support Hall sensors (A/B/C, 5V supply from drive) for brushless motor commutation, a +/-10V analog tachometer input for velocity feedback in closed-loop velocity mode, and a 5V single-ended incremental encoder (A/B/Z channels) for position or velocity feedback — the encoder input can also be used in combination with Halls. The AZBH variant is optimized for Hall-only velocity control, while the AZBE variant supports encoder-based position control. All models include a +/-10V command input and a separate Enable input (active high, 3.3–5V compatible). For the full guide, download the AxCent PCB Mount Hardware Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"What operating modes are available on AxCent drives?","AMC_HWManual_AxCent_PCB.pdf","15","Products and System Requirements / Modes of Operation","AxCent AZB drives support five control modes selectable via DIP switch or solder jumper: Current (Torque) mode — inner current loop only, command scales to peak current; Duty Cycle (Open Loop) — command directly sets PWM duty cycle with no feedback; Hall Velocity — closed-loop velocity using Hall sensor transitions for speed measurement (AZB/AZBH); Tachometer Velocity — closed-loop velocity using a +/-10V tachometer signal; and Analog Position — closed-loop position using incremental encoder feedback (AZBE). The AZBD variant adds a deadband feature useful for voice-coil actuators. DIP switch SW1 selects mode and phase configuration; refer to the hardware manual table for the specific bit pattern. For the full guide, download the AxCent PCB Mount Hardware Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I wire power and motor connections for an analog servo drive?","AMC_HWManual_AnalogDrives.pdf","34","Integration in the Servo System / Wiring","Install a European-approved over-current protective device (circuit breaker or fuse) rated for the AC input line current in series with the AC supply before the drive or power supply. Wire sizing must comply with LVD requirements: use minimum 14 AWG for 30A-rated drives (B30A40) and 10 AWG for 100A models (B100A400AC). Keep DC power wires (HV+ and HV-) as short as possible; if they exceed 5 feet, add a 1000µF bypass capacitor near the drive's power input terminals. Use shielded cable for motor connections, with the shield connected to earth ground at the drive end only. For the full guide, download the Classic Analog Drives Hardware Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"What are the minimum inductance requirements for analog drives?","AMC_HWManual_AnalogDrives.pdf","10","Safety / General Safety Overview","PWM servo drives produce a high-frequency pulsed voltage output (typically 20–100 kHz switching frequency) that requires a minimum phase-to-phase motor inductance to limit ripple current. For brushless motors, the minimum inductance is typically 500µH phase-to-phase for drives switching at 20 kHz; lower switching frequencies require higher minimum inductance proportionally. If the motor's inductance is too low, add external series inductors (line reactors) in series with each motor phase lead — size them to bring the total phase inductance to the minimum required value. Failure to meet minimum inductance can cause excessive current ripple, overheating, and potential drive damage. For the full guide, download the Classic Analog Drives Hardware Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"What command input options are available on analog drives?","AMC_HWManual_AnalogDrives.pdf","17","Products and System Requirements / Command Inputs","Classic analog drives (B series) accept a differential +/-10V analog command signal on the CMD+ and CMD- input pins (100k ohm input impedance); this signal commands current, velocity, or position depending on the selected control mode. Full-scale command scaling (e.g., 10V = peak current, or 10V = max velocity) is set via the GAIN potentiometer or DIP switch current-select bits. An input OFFSET potentiometer trims any DC offset on the command signal. Some models also accept a step-and-direction or PWM command input — check the specific drive datasheet for availability. The Enable (inhibit) input must be pulled to logic high (5V) to allow drive output; leaving it unconnected will prevent the drive from operating. For the full guide, download the Classic Analog Drives Hardware Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I connect and set up ACE software for a FlexPro drive?","AMC_SW_Manual_ACE.pdf","25","Introduction / Connect To Drive","In ACE, open the Connect To Drive window (toolbar or File menu), select the communication channel — USB (recommended for initial setup), RS232, RS485, or Ethernet — and set the drive address (default is 63 for RS232/RS485/USB; for Ethernet, enter the drive's IP address). After clicking Connect, the drive's workspace opens and the current drive configuration is uploaded automatically. Ensure the drive's Interface Access Control is set to allow full read/write access from the selected channel; if another channel has exclusive access, ACE will connect in read-only mode. Install the USB driver from the ACE installation package if connecting via USB for the first time. For the full guide, download the ACE Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I configure motor parameters in ACE?","AMC_SW_Manual_ACE.pdf","35","Configuring the Drive / Motor","In ACE, navigate to Configuring the Drive > Motor and select the motor type: Brushed DC, Brushless (BLDC/PMSM), Stepper, AC Induction, Voice Coil, or Linear Brushless. For brushless motors, set the number of pole pairs (motor poles ÷ 2), the encoder lines-per-revolution (before quadrature multiplication, e.g., 1000 for a 4000-count/rev encoder), and the motor's continuous and peak current limits in Amps. The motor rated speed (RPM) and back-EMF constant (Ke, V/KRPM) are required for AC induction and stepper configurations. Save parameters to EEPROM using the Save to Drive button after completing all motor settings. For the full guide, download the ACE Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I set up commutation sensors (Halls) in ACE?","AMC_SW_Manual_ACE.pdf","40","Configuring the Drive / Commutation","In ACE under Configuring the Drive > Commutation, enable Hall sensors and select the Hall phasing: 60-degree or 120-degree spacing depending on the motor specification (120-degree is most common for BLDC motors; use 60-degree for motors that specify it). The Hall State Sequence display shows the live Hall A/B/C states as the motor rotates — verify the sequence advances through all six valid states without invalid transitions (all-zeros or all-ones indicate a wiring fault). If the motor runs roughly or in the wrong direction, swap any two motor phase wires and re-run AutoCommutation to re-detect the commutation offset angle. For the full guide, download the ACE Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
